filename,width,height,class,xmin,ymin,xmax,ymax
Capture1.PNG,1278,655,billboard,448,245,572,329
Capture2.PNG,1274,652,billboard,359,291,468,354
Capture3.PNG,1272,661,billboard,210,293,291,351
Capture4.PNG,1280,647,billboard,682,323,749,366
Capture5.PNG,1276,615,billboard,1014,273,1122,341
Capture6.PNG,1275,600,billboard,569,243,655,326
Capture7.PNG,1271,610,billboard,507,239,599,324
Capture8.PNG,1275,658,billboard,693,285,767,340
Capture9.PNG,1274,650,billboard,698,263,793,331
Capture10.PNG,1265,645,billboard,349,266,446,337
Capture11.PNG,1274,646,billboard,1178,268,1253,323
Capture12.PNG,1272,659,billboard,579,300,640,347
Capture13.PNG,1268,654,billboard,581,273,667,337
Capture14.PNG,1275,653,billboard,1020,275,1124,339
Capture15.PNG,1273,659,billboard,818,289,927,358
Capture16.PNG,1276,655,billboard,654,301,731,352
Capture17.PNG,1208,644,billboard,706,257,808,348
Capture18.PNG,1220,668,billboard,381,326,436,359
Capture19.PNG,1270,649,billboard,430,327,480,358
image10.jpg,275,183,billboard,22,22,194,88
image14.jpg,259,194,billboard,55,8,251,135
image52.jpg,259,194,billboard,158,77,182,114
image84.jpg,259,194,billboard,65,35,153,87
image85.jpg,259,194,billboard,127,50,177,84
image86.jpg,259,194,billboard,91,42,174,85
image87.jpg,259,194,billboard,43,14,110,79
image88.jpg,259,194,billboard,171,42,225,93
image89.jpg,288,175,billboard,107,64,172,102
image93.jpg,567,464,billboard,100,155,441,244
image1.jpg,275,183,billboard,92,38,231,82
image2.jpg,291,173,billboard,44,26,244,89
image3.jpg,279,181,billboard,15,7,275,148
image4.jpg,300,168,billboard,18,11,102,57
image5.jpg,300,168,billboard,15,5,171,151
image6.jpg,318,159,billboard,74,1,246,134
image7.jpg,259,194,billboard,98,30,199,108
image8.jpg,310,163,billboard,110,11,271,87
image9.jpg,300,168,billboard,57,27,235,90
image10.jpg,300,168,billboard,135,47,285,119
image11.jpg,259,194,billboard,47,11,219,113
image12.jpg,304,166,billboard,34,43,172,88
image13.jpg,225,225,billboard,7,54,193,149
image14.jpg,259,168,billboard,56,10,249,132
image15.jpg,375,135,billboard,161,8,270,94
image16.jpg,272,185,billboard,67,18,200,100
